location,item,UPC,Quantity
UC,100-S6FZX-K5470M-INK-L,198895186081,35
UC,100-S6FZX-K5470M-INK-M,198895186074,19
UC,100-S6FZX-K5470M-INK-S,198895186067,2
UC,100-S6FZX-K5470M-INK-XL,198895186098,33
UC,100-S6GAS-W6176M-BLACK-3X,198895186210,1
UC,100-S6GBI-K5436M-FLINT-L,198895186890,1
UC,100-S6GBI-K5436M-FLINT-XL,198895186906,1
UC,100-S6GBI-K5436M-UNNAT-XL,198895261436,1
UC,100-S6GC1-J5837M-BLACK-L,198895187736,2
UC,100-S6GC1-J5837M-BLACK-M,198895187729,2
UC,100-S6GC1-J5837M-BLACK-S,198895187712,4
UC,100-S6GC1-J5837M-BLACK-XXS,198895187699,4
UC,100-S6GC1-P4889M-FLINT-3X,198895261559,1
UC,100-S6GC1-P4889M-FLINT-M,198895261504,1
UC,100-S6GC1-P4889M-FLINT-S,198895261498,1
UC,100-S6GC1-P4889M-FLINT-XS,198895261481,2
UC,100-S6GC1-P4889M-INK-2X,198895188214,1
UC,100-S6GC1-P4889M-INK-3X,198895188221,1
UC,100-S6GC1-T5775M-BLSTR-1X,198895188290,1
UC,100-S6GC1-T5775M-BLSTR-L,198895188276,1
UC,100-S6GC1-T5775M-BLSTR-S,198895188252,1
UC,100-S6GC1-T5775M-BLSTR-XL,198895188283,1
UC,100-S6GC1-T5775P-BLSTR-PS,198895283742,2
UC,100-S6GC1-T6368M-FSTFL-L,198895188634,3
UC,100-S6GC1-T6368M-FSTFL-S,198895188610,2
UC,100-S6GC1-T6368M-FSTFL-XS,198895188603,1
UC,100-S6GC1-U4274M-BLACK-3X,198895251000,1
UC,100-S6GC1-U4274M-INK-L,198895190255,1
UC,100-S6GDD-P4679M-WHITE-XXS,198895191207,1
UC,100-S6GK-U2372M-EUCLY-3X,198895192457,1
UC,100-S6GK-U2372M-FLINT-XXS,198895192464,1
UC,100-S6GK-U2372M-IVORY-XXS,198895192648,1
UC,100-S6ISZ-T5670M-SKYLT-XXS,198895195137,1
UC,100-S6IZ1-T5670M-INK-XL,198895196264,1
UC,100-S6IZ1-T5670M-RIVER-XL,198895196356,1
UC,100-S6IZ1-T5670M-SEAFM-L,198895196431,1
UC,100-S6IZ1-T5670P-INK-PL,198895284329,1
UC,100-S6IZ1-T5852M-BDORG-M,198895196608,2
UC,100-S6JRD-P4366P-WLNUT-PP,198895510138,1
UC,100-S6LEL-W5971M-BLSTR-2X,198895202675,1
UC,100-S6LEL-W5971M-PETUN-L,198895251864,29
UC,100-S6LEL-W5971M-PETUN-M,198895251857,47
UC,100-S6LEL-W5971M-PETUN-S,198895251840,53
UC,100-S6LEL-W5971M-PETUN-XL,198895251871,8
UC,100-S6LEL-W5971M-PETUN-XS,198895251833,29
UC,100-S6LEL-W5971M-TEAL-L,198895251956,36
UC,100-S6LEL-W5971M-TEAL-M,198895251949,48
